Participant_ID,User Valence,User Arousal,Video Type,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_VHF,peak_number,peak_amplitude,signal_power,med_abs_dev,band_power,rms,Label_1
P1,1.0,6.0,CP3,712.3936846328453,1414.5454545454545,512.9255703244289,729.5451942657086,0.3626080510005603,0.5036202140720629,1500.0,385.476,0.256984,550.0,90.9090909090909,95.45454545454544,1398.4375,7.333333333333333,0.0057329632760349,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,1145.2593800615855,1352.7272727272727,700.8714427202605,1173.527040287404,0.5181173299679345,0.8466299180562797,1320.0,652.3439999999999,0.4942,890.0,95.45454545454544,95.45454545454544,1398.4375,7.333333333333333,0.0016434764991397,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,763.1513611335565,1400.0,552.8799060159362,780.5931810397234,0.3949142185828115,0.5451081150953975,1580.0,415.128,0.2627392405063291,490.0,86.36363636363636,90.9090909090909,0.0,11.0,0.0041762461018723,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,760.2004748122445,1361.8181818181818,519.5569207886599,776.6202724749386,0.3815170980424071,0.5582246477259473,1540.0,444.78,0.2888181818181818,600.0,95.45454545454544,95.45454545454544,875.0,11.0,0.0182723369837957,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,753.2153299909219,1222.4,545.7813970202111,769.2948022400926,0.4464834726932354,0.6161774623616835,1360.0,593.04,0.4360588235294117,920.0,88.0,96.0,78.125,12.5,0.0179647611918146,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,681.3711665947325,1190.4,493.4612446788501,695.1926018185093,0.4145339757046791,0.5723884127979944,1360.0,474.432,0.3488470588235294,640.0,88.0,92.0,39.0625,8.333333333333334,0.0193269780769499,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,1.0,6.0,CP3,1070.034538247938,1278.3333333333333,781.301404105977,1093.6655557464023,0.6111875390659534,0.8370543975863923,1460.0,830.256,0.5686684931506849,1220.0,91.66666666666666,91.66666666666666,0.0,8.0,0.0043506358541491,8.0,1.5155160621598014e-05,0.0016047164130929,0.0079897314000001,1.2891304003019177e-05,0.6701174396927029,1
P1,6.0,9.0,CP4,859.5901570488335,1332.7272727272727,608.5594373145393,879.1207728937665,0.456627135774893,0.6449857931471465,1280.0,711.6479999999999,0.5559749999999999,930.0,81.81818181818183,86.36363636363636,234.375,11.0,0.0008919830907579,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,6.0,9.0,CP4,950.1077633114896,1383.6363636363635,618.404594439791,972.0356646406208,0.4469415597133837,0.6866744675707218,1500.0,800.6039999999999,0.533736,1030.0,90.9090909090909,90.9090909090909,0.0,7.333333333333333,0.0039939266863846,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,6.0,9.0,CP4,963.050708253032,1541.0526315789473,615.70099829239,990.295393971042,0.3995327516241602,0.6249304459292216,1840.0,415.128,0.2256130434782608,880.0,89.47368421052632,89.47368421052632,0.0,9.5,0.015643885943983,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
